id,financial_report_id/id,sequence,parent_id/id,code,level,name,groupby,domain,formulas,special_date_changer,green_on_positive,show_domain,figure_type,hide_if_zero,action_id/id
1000000,toyosa_balance_general,1,,A1000000,0,1000000 ACTIVO,account_id,,balance = A1100000.balance + A1200000.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
1100000,,1,1000000,A1100000,1,1100000 ACTIVO CORRIENTE,account_id,,balance = A1110000.balance + A1120000.balance + A1130000.balance + A1140000.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
1110000,,1,1100000,A1110000,2,1110000 DISPONIBILIDADES E INVERSIONES TEMPORALES,account_id,,balance = A1110100.balance + A1110200.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
1110100,,1,1110000,A1110100,3,1110100 DISPONIBILIDADES,account_id,"[('account_id','ilike','11101%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
1110200,,2,1110000,A1110200,3,1110200 INVERSIONES TEMPORALES,account_id,"[('account_id','ilike','11102%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
1120000,,2,1100000,A1120000,2,1120000 CUENTAS POR COBRAR,account_id,,balance = A1120100.balance + A1120200.balance + A1120300.balance + A1120400.balance + A1120500.balance + A1120600.balance + A1120900.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
1120100,,3,1120000,A1120100,3,1120100 CUENTAS POR COBRAR COMERCIALES,account_id,"[('account_id','ilike','11201%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
1120200,,4,1120000,A1120200,3,1120200 CLIENTES EN EJECUCION POR MORA,account_id,"[('account_id','ilike','11202%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
1120300,,5,1120000,A1120300,3,1120300 ANTICIPOS A PROVEEDORS,account_id,"[('account_id','ilike','11203%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
1120400,,6,1120000,A1120400,3,1120400 CUENTAS POR COBRAR SOCIOS Y EMPRESAS RELACIONADAS,account_id,"[('account_id','ilike','11204%')]",balance = sum.balance,Utilice fechas dadas,TRUE,Plegable,Número flotante,FALSE,
